x,y,z
-9.443506338805247E+04,-1.823196793765537E+05,-1.732820494884510E+04
-9.564258582206948E+04,-1.873624713445731E+05,-1.778254024892664E+04
-9.679856678041887E+04,-1.923023271687778E+05,-1.822713481429502E+04
-9.790598681186199E+04,-1.971436251218447E+05,-1.866241825029340E+04
-9.896755330420838E+04,-2.018903846049000E+05,-1.908878453575677E+04
-9.998573514960919E+04,-2.065463070618768E+05,-1.950659615411588E+04
-1.009627920098582E+05,-2.111148109944828E+05,-1.991618762218227E+04
-1.019007991794351E+05,-2.155990620939520E+05,-2.031786852161813E+04
-1.028016688339325E+05,-2.200019993040363E+05,-2.071192611704621E+04
-1.036671682908802E+05,-2.243263574729782E+05,-2.109862762844891E+04
-1.044964167463859E+05,-2.285704920986503E+05,-2.147801062845955E+04
-1.052957309568059E+05,-2.327448040037848E+05,-2.185080131804236E+04
-1.060642542610848E+05,-2.368476997759558E+05,-2.221693556440584E+04
-1.068024069891244E+05,-2.408817685708395E+05,-2.257649329222072E+04
-1.075131411016823E+05,-2.448480738948576E+05,-2.292988660620942E+04
-1.081968268423261E+05,-2.487488771670355E+05,-2.327721297490275E+04
-1.088545438803828E+05,-2.525859353864823E+05,-2.361864392252074E+04
-1.094873296036392E+05,-2.563608958540137E+05,-2.395433963843164E+04
-1.100961795339371E+05,-2.600752987358343E+05,-2.428444227367391E+04
-1.106820391495696E+05,-2.637306430985722E+05,-2.460909386746414E+04
-1.112457970615804E+05,-2.673283346993671E+05,-2.492844227283401E+04
-1.117882856061630E+05,-2.708696827607063E+05,-2.524260616398914E+04
-1.123102912292986E+05,-2.743559301687656E+05,-2.555171775244620E+04
-1.128125679860552E+05,-2.777882796050276E+05,-2.585593535507504E+04
-1.132958575876842E+05,-2.811678768050344E+05,-2.615536532692501E+04
-1.137608777710264E+05,-2.844958124287564E+05,-2.645008799562110E+04
-1.142086861336165E+05,-2.877734251682502E+05,-2.674016138731368E+04
-1.146471441020797E+05,-2.909970457662519E+05,-2.703087827246613E+04
-1.150667129185176E+05,-2.941741925278060E+05,-2.731549279282812E+04
-1.154531512338491E+05,-2.973133620969878E+05,-2.758672085325075E+04
-1.158369630373073E+05,-3.003984263971646E+05,-2.785983297676955E+04
-1.162063413081397E+05,-3.034373861570869E+05,-2.812879597675384E+04
-1.165618736483161E+05,-3.064310340731862E+05,-2.839369267166565E+04
